date,description,amount,type,category,account,notes
2022-01-11,Kenno Design Software,-1500.00,contractor_payment,contractor,mercury-xx8595,Web/software development contracting
2022-02-02,Cloudflare,-3.67,expense,hosting,mercury-xx8595,
2022-02-02,Lemon Squeezy,-79.00,expense,software,mercury-xx8595,
2022-02-03,Afternext Ltd,600.00,revenue,consulting,mercury-xx8595,
2022-02-06,GoRails,-19.00,expense,education,mercury-xx8595,
2022-03-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-03-08,GoRails,-19.00,expense,education,mercury-xx8595,
2022-03-10,Viber,-4.99,expense,communication,mercury-xx8595,
2022-03-14,GoRails,-249.00,expense,education,mercury-xx8595,
2022-03-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-04-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-04-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-05-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-05-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-05-30,Cloudflare,-8.57,expense,hosting,mercury-xx8595,
2022-06-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-06-18,Firstbase.io,-99.00,expense,formation,mercury-xx8595,
2022-06-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-06-28,Firstbase.io,99.00,expense,formation,mercury-xx8595,Refund
2022-07-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-07-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-07-30,Cloud Peak Law Group,-209.00,expense,legal,mercury-xx8595,
2022-08-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-08-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-09-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-09-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-10-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-10-02,Porkbun,-7.00,expense,domains,mercury-xx8595,
2022-10-04,Porkbun,-10.79,expense,domains,mercury-xx8595,
2022-10-04,Porkbun,-12.87,expense,domains,mercury-xx8595,
2022-10-06,Apple,-99.00,expense,equipment,mercury-xx8595,
2022-10-06,Apple,-5.94,expense,equipment,mercury-xx8595,
2022-10-11,Apple,99.00,expense,equipment,mercury-xx8595,Refund
2022-10-11,Apple,5.94,expense,equipment,mercury-xx8595,Refund
2022-10-17,Porkbun,-9.73,expense,domains,mercury-xx8595,
2022-10-17,Northflank,-10.28,expense,hosting,mercury-xx8595,
2022-10-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-11-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-11-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2022-11-30,WishTender LLC,1500.00,revenue,consulting,mercury-xx8595,auto-tweet project
2022-12-01,Porkbun,-34.29,expense,domains,mercury-xx8595,
2022-12-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2022-12-07,WishTender LLC,6250.00,revenue,consulting,mercury-xx8595,Product Development
2022-12-12,Duy Pham,-5000.00,contractor_payment,contractor,mercury-xx8595,
2022-12-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2023-01-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2023-01-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2023-01-31,Josh Comeau Course,-221.11,expense,education,mercury-xx8595,Via Paddle.net
2023-02-01,Google Workspace,-6.00,expense,software,mercury-xx8595,
2023-02-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2023-02-02,WishTender LLC,10000.00,revenue,consulting,mercury-xx8595,January Dev Contract
2023-02-02,Anh Luong,-1000.00,distribution,owner_draw,mercury-xx8595,
2023-02-05,Remove.bg,-36.00,expense,software,mercury-xx8595,Via Paddle.net (Sizzy)
2023-02-07,Instaprice,-287.00,expense,software,mercury-xx8595,
2023-02-16,WishTender LLC,10000.00,revenue,consulting,mercury-xx8595,February Dev Work
2023-02-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2023-02-23,Anh Luong,-3000.00,distribution,owner_draw,mercury-xx8595,
2023-02-27,Bookmate Corporation,-350.00,expense,education,mercury-xx8595,
2023-02-28,Anh Luong,-10000.00,distribution,owner_draw,mercury-xx8595,
2023-03-01,Google Workspace,-6.00,expense,software,mercury-xx8595,
2023-03-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2023-03-06,Anh Luong,-5000.00,distribution,owner_draw,mercury-xx8595,
2023-03-11,WishTender LLC,10000.00,revenue,consulting,mercury-xx8595,March Development
2023-03-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2023-03-31,Wise Ltd,-1000.00,distribution,owner_draw,mercury-xx8595,Payroll: Anh Luong (via Wise)
2023-04-01,Google Workspace,-6.00,expense,software,mercury-xx8595,
2023-04-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2023-04-03,Wise Ltd,-863.11,contractor_payment,contractor,mercury-xx8595,Payroll: Can Ngo
2023-04-03,Wise Ltd,-1293.80,contractor_payment,contractor,mercury-xx8595,Payroll: Thanh Pham
2023-04-03,Anh Luong,-8000.00,distribution,owner_draw,mercury-xx8595,
2023-04-04,WishTender LLC,13200.00,revenue,consulting,mercury-xx8595,April
2023-04-21,Cloudflare,-6.18,expense,hosting,mercury-xx8595,
2023-04-22,GraphJSON,-5.00,expense,software,mercury-xx8595,
2023-04-25,Anh Luong,-8000.00,distribution,owner_draw,mercury-xx8595,
2023-04-25,Josh Comeau Course,-422.94,expense,education,mercury-xx8595,Via Paddle.net
2023-04-27,Midjourney,-96.00,expense,software,mercury-xx8595,
2023-04-28,Cloudflare,-20.18,expense,hosting,mercury-xx8595,
2023-04-28,Cloudflare,-9.15,expense,hosting,mercury-xx8595,
2023-05-02,Cloudflare,-5.00,expense,hosting,mercury-xx8595,
2023-05-02,Google Workspace,-6.60,expense,software,mercury-xx8595,
2023-05-02,Porkbun,-38.55,expense,domains,mercury-xx8595,
2023-05-02,Wise Ltd,-1508.65,contractor_payment,contractor,mercury-xx8595,
2023-05-02,Wise Ltd,-2369.80,contractor_payment,contractor,mercury-xx8595,
2023-05-02,Wise Ltd,-1616.30,contractor_payment,contractor,mercury-xx8595,
